account_id,customer_segment
2114,Risky Customers
2115,Potential Loyalists
2116,Champions
2119,Leaving Customers
2122,Champions
2123,Leaving Customers
2125,Risky Customers
2126,Champions
2127,Potential Loyalists
2128,Risky Customers
2129,Potential Loyalists
2130,Risky Customers
2131,Leaving Customers
2132,Risky Customers
2133,Risky Customers
2135,Potential Loyalists
2136,Champions
2139,Champions
2141,Risky Customers
2142,Risky Customers
2143,Champions
2144,Leaving Customers
2145,Risky Customers
2146,Risky Customers
2147,Champions
2148,Risky Customers
2149,Potential Loyalists
2150,Champions
2151,Risky Customers
2152,Potential Loyalists
2154,Risky Customers
2155,Risky Customers
2156,Champions
2157,Champions
2159,Potential Loyalists
2160,Potential Loyalists
2161,Risky Customers
2162,Leaving Customers
2164,Potential Loyalists
2165,Potential Loyalists
2166,Risky Customers
2167,Risky Customers
2168,Risky Customers
2169,Potential Loyalists
2170,Champions
2171,Leaving Customers
2172,Risky Customers
2173,Potential Loyalists
2174,Potential Loyalists
2176,Potential Loyalists
2177,Potential Loyalists
2179,Potential Loyalists
2182,Potential Loyalists
2183,Potential Loyalists
2184,Champions
2185,Potential Loyalists
2186,Risky Customers
2187,Leaving Customers
2189,Leaving Customers
2190,Champions
2191,Potential Loyalists
2192,Risky Customers
2194,Risky Customers
2196,Risky Customers
2197,Potential Loyalists
2198,Potential Loyalists
2199,Risky Customers
2200,Risky Customers
2201,Potential Loyalists
2203,Risky Customers
2204,Leaving Customers
2205,Leaving Customers
2206,Potential Loyalists
2207,Risky Customers
2208,Champions
2209,Potential Loyalists
2212,Leaving Customers
2213,Potential Loyalists
2214,Champions
2215,Risky Customers
2216,Champions
2218,Potential Loyalists
2219,Potential Loyalists
2220,Risky Customers
2221,Risky Customers
2222,Risky Customers
2223,Champions
2224,Potential Loyalists
2225,Potential Loyalists
2226,Champions
2227,Risky Customers
2228,Risky Customers
2229,Potential Loyalists
2230,Champions
2233,Champions
2234,Potential Loyalists
2235,Potential Loyalists
2236,Risky Customers
2237,Champions
2238,Champions
2242,Risky Customers
2243,Potential Loyalists
2244,Risky Customers
2245,Potential Loyalists
2247,Champions
2249,Risky Customers
2250,Risky Customers
2252,Risky Customers
2253,Champions
2255,Leaving Customers
2256,Leaving Customers
2257,Risky Customers
2258,Risky Customers
2259,Risky Customers
2260,Champions
2261,Champions
2262,Potential Loyalists
2263,Risky Customers
2265,Risky Customers
2266,Risky Customers
2268,Leaving Customers
2269,Risky Customers
2270,Risky Customers
2271,Risky Customers
2272,Risky Customers
2274,Potential Loyalists
2277,Risky Customers
2278,Leaving Customers
2279,Risky Customers
2283,Potential Loyalists
2284,Risky Customers
2285,Risky Customers
2287,Potential Loyalists
2288,Risky Customers
2289,Risky Customers
2292,Champions
2294,Risky Customers
2295,Risky Customers
2296,Champions
2297,Risky Customers
2300,Risky Customers
2301,Champions
2302,Risky Customers
2303,Potential Loyalists
2304,Risky Customers
2310,Champions
2311,Risky Customers
2312,Risky Customers
2313,Champions
2314,Risky Customers
2315,Leaving Customers
2319,Potential Loyalists
2320,Risky Customers
2321,Champions
2322,Leaving Customers
2323,Risky Customers
2324,Risky Customers
2325,Risky Customers
2326,Leaving Customers
2328,Champions
2329,Risky Customers
2330,Risky Customers
2331,Risky Customers
2336,Risky Customers
2337,Risky Customers
2338,Champions
2339,Risky Customers
2340,Leaving Customers
2343,Risky Customers
2344,Risky Customers
2345,Potential Loyalists
2347,Risky Customers
2348,Risky Customers
2349,Potential Loyalists
2350,Champions
2351,Risky Customers
2352,Risky Customers
2354,Leaving Customers
2355,Potential Loyalists
2356,Leaving Customers
2357,Potential Loyalists
2358,Risky Customers
2360,Risky Customers
2361,Potential Loyalists
2362,Potential Loyalists
2363,Potential Loyalists
2364,Risky Customers
2365,Risky Customers
2366,Risky Customers
2367,Leaving Customers
2368,Risky Customers
2369,Champions
2370,Leaving Customers
2371,Potential Loyalists
2372,Champions
2374,Champions
2375,Champions
2376,Risky Customers
2377,Leaving Customers
2378,Risky Customers
2379,Risky Customers
2380,Champions
2381,Risky Customers
2382,Risky Customers
2384,Risky Customers
2385,Risky Customers
2386,Risky Customers
2387,Risky Customers
2388,Champions
2389,Champions
2390,Risky Customers
2391,Risky Customers
2392,Risky Customers
2394,Champions
2395,Leaving Customers
2396,Champions
2397,Leaving Customers
2398,Risky Customers
2401,Champions
2402,Risky Customers
2403,Risky Customers
2404,Leaving Customers
2405,Risky Customers
2407,Leaving Customers
2408,Champions
2409,Champions
2410,Risky Customers
2412,Leaving Customers
2413,Risky Customers
2414,Risky Customers
2415,Risky Customers
2416,Potential Loyalists
2417,Leaving Customers
2418,Champions
2419,Risky Customers
2420,Potential Loyalists
2421,Risky Customers
2422,Champions
2423,Risky Customers
2424,Risky Customers
2427,Risky Customers
2428,Risky Customers
2429,Leaving Customers
2430,Leaving Customers
2431,Risky Customers
2432,Risky Customers
2434,Risky Customers
2435,Risky Customers
2436,Risky Customers
2437,Risky Customers
2438,Risky Customers
2439,Risky Customers
2441,Risky Customers
2442,Leaving Customers
2444,Potential Loyalists
2445,Risky Customers
2448,Risky Customers
2450,Risky Customers
2451,Risky Customers
2452,Leaving Customers
2453,Risky Customers
2454,Risky Customers
2455,Leaving Customers
2456,Risky Customers
2457,Leaving Customers
2458,Champions
2459,Potential Loyalists
2460,Risky Customers
2461,Risky Customers
2462,Leaving Customers
2463,Potential Loyalists
2465,Risky Customers
2467,Risky Customers
2468,Risky Customers
2469,Risky Customers
2470,Leaving Customers
2471,Leaving Customers
2473,Leaving Customers
2474,Risky Customers
2475,Risky Customers
2476,Risky Customers
2477,Risky Customers
2479,Potential Loyalists
2480,Risky Customers
2481,Risky Customers
2483,Risky Customers
2484,Risky Customers
2485,Risky Customers
2486,Risky Customers
2487,Risky Customers
2488,Champions
2489,Risky Customers
2491,Potential Loyalists
2492,Champions
2493,Risky Customers
2494,Risky Customers
2495,Risky Customers
2497,Champions
2498,Champions
2499,Champions
2500,Risky Customers
2501,Risky Customers
2502,Risky Customers
2503,Risky Customers
2504,Risky Customers
2505,Champions
2506,Risky Customers
2507,Potential Loyalists
2508,Risky Customers
2509,Risky Customers
2510,Risky Customers
2511,Potential Loyalists
2512,Risky Customers
2513,Leaving Customers
2515,Risky Customers
2517,Risky Customers
2524,Risky Customers
2525,Risky Customers
2526,Risky Customers
2527,Risky Customers
2529,Potential Loyalists
2530,Risky Customers
2531,Risky Customers
2533,Risky Customers
2534,Risky Customers
2535,Leaving Customers
2536,Risky Customers
2537,Leaving Customers
2538,Leaving Customers
2539,Potential Loyalists
2541,Leaving Customers
2542,Leaving Customers
2548,Risky Customers
2549,Potential Loyalists
2550,Risky Customers
2554,Risky Customers
2555,Leaving Customers
2556,Leaving Customers
2557,Risky Customers
2558,Leaving Customers
2559,Risky Customers
2560,Risky Customers
2561,Leaving Customers
2562,Risky Customers
2564,Risky Customers
2571,Risky Customers
2575,Risky Customers
2576,Leaving Customers
2577,Leaving Customers
2579,Leaving Customers
2580,Leaving Customers
2581,Risky Customers
2582,Leaving Customers
2583,Risky Customers
2585,Potential Loyalists
2586,Potential Loyalists
2588,Risky Customers
2595,Risky Customers
2598,Potential Loyalists
2599,Risky Customers
2600,Potential Loyalists
2601,Risky Customers
2603,Risky Customers
2604,Risky Customers
2605,Risky Customers
2607,Leaving Customers
2608,Champions
2609,Champions
2610,Risky Customers
2611,Risky Customers
2612,Risky Customers
2613,Risky Customers
2614,Risky Customers
2615,Leaving Customers
2616,Risky Customers
2617,Risky Customers
2618,Leaving Customers
2619,Leaving Customers
2621,Risky Customers
2622,Leaving Customers
2623,Risky Customers
2624,Risky Customers
2625,Risky Customers
2626,Risky Customers
2628,Risky Customers
2629,Risky Customers
2631,Leaving Customers
2632,Risky Customers
2633,Leaving Customers
2634,Leaving Customers
2635,Risky Customers
2637,Risky Customers
2638,Risky Customers
2641,Risky Customers
2642,Potential Loyalists
2643,Potential Loyalists
2645,Risky Customers
2646,Risky Customers
2648,Risky Customers
2649,Risky Customers
2650,Leaving Customers
2652,Risky Customers
2654,Potential Loyalists
2655,Risky Customers
2657,Leaving Customers
2658,Risky Customers
2660,Potential Loyalists
2661,Risky Customers
2664,Leaving Customers
2665,Leaving Customers
2667,Risky Customers
2669,Leaving Customers
2670,Leaving Customers
2671,Leaving Customers
2672,Leaving Customers
2673,Leaving Customers
2674,Risky Customers
2675,Potential Loyalists
2678,Risky Customers
2679,Leaving Customers
2680,Leaving Customers
2681,Risky Customers
2683,Leaving Customers
2684,Leaving Customers
2685,Risky Customers
2686,Risky Customers
2687,Leaving Customers
